english	thai	current_paiboon
relationship	สัมพันธภาพ	sam-pan-ta-pap
ally	สัมพันธมิตร	sam-pan-tha-mit
program	สาขาวิชา	saa-kaa-wi-chaa
republic	สาธารณรัฐ	saa-taa-ran-rat
virtuous men	สาธุชน	saa-tu-chon
gene	สายพันธุ์	sai-pan
relation	สายสัมพันธ์	săi-săm-pan
right	สิทธิ์	sìt-tí
authority	สิทธิ	sìt-tí
right	สิทธิประโยชน์	sìt-tí-bpra-yòot
personality	สิทธิส่วนบุคคล	sìt-tí-sùan-buk-kon
pass away	สิ้นพระชนม์	sîn-pra-chon
end	สิ้นสุด	sîn-sùt
square	สี่เหลี่ยม	sìi-lìam
happiness	สุข	sùk
health	สุขภาพ	sùk-khaap
mental health	สุขภาพจิต	suk-kaa-p-jit
mild	สุขุม	sù-kum
keep cool	สุขุม	sù-kum
honest	สุจริต	su-ja-rit
net	สุทธิ	sùt-ti
proverb	สุภาษิต	sù-paa-sìt
spirits	สุรา	sù-raa
calendar	สุริยคติ	sù-rí-ya-kit
gold	สุวรรณ	su-wan
be high	สูง	sǔung
supreme	สูงสุด	sǔung-sùt
lose	สูญ	sǔun
become extinct	สูญพันธุ์	sǔun-pan
loss	สูญหาย	sǔun-haai
formula	สูตร	sùut-dton
suck	สูบ	sùup
smoke	สูบ	sùup
fight	สู้รบ	sûu-rop
single	โสด	sòod
prostitute	โสเภณี	sǒo-pee-nii
attend	ใส่ใจ	sai-jai
cruel	โหด	hòot
be cruel	โหดร้าย	hòo-d-raai
mode	โหมด	hòot
oh	โอ้	ôo
son	โอรส	oo-rót
IQ	ไอคิว	ai-khiu
boy	ไอ้หนู	ai-nǔu
boohoo	โฮ	hoo
high-tech	ไฮเทค	hai-tèk
data processing	การประมวลผล	gaan-bpra-muan-pon
learning	การเรียนรู้	gaan-rian-rúu
bottle of milk	ขวดนม	kùat-nom
cheroot	ขี้โย	khîi-yoo
tail	ครีบหาง	krîip-haang
fin	ครีบอก	krîib-òk
scare	ความกลัว	kwaam-glua
introduction	ความนำ	kwaam-nam
readiness	ความพร้อม	khwaam-prom
justice	ความยุติธรรม	kwaam-yú-dtì-tam
peacefulness	ความร่มเย็น	kwaam-rom-yen
mystery	ความลึกลับ	khwaam-lúk-lap
caf?	คาเฟ่	kaa-fèe
conjugation	คำผัน	kam-phan
quality of life	คุณภาพชีวิต	kun-phaap-chii-wit
eliminate	โค่นล้ม	khôon-lóm
quota	โควตา	koo-dtaa
finish	จบสิ้น	jòp-sîn
Chakri	จักรี	jak-rii
contemporary mural	จิตรกรรมร่วมสมัย	jìt-ra-gam-ruam-sa-mai
break even point	จุดคุ้มทุน	jùd-kúm-tun
farmer	ชาวนาชาวไร่	chao-naa-chao-rai
bio-organic consumption	ชีวจิต	chii-jìt
real life	ชีวิตจริง	chii-wit-jing
every day life	ชีวิตประจำวัน	chii-wít-bpra-jam-wan
auction	ซองประมูล	song-bpra-muun
CD-ROM	ซีดีรอม	sii-dii-rom
SEA Write	ซีไรท์	sii-rait
doughnut	โดนัท	doo-nat
transactions	ธุรกรรม	tu-ra-gam
small business	ธุรกิจขนาดเล็ก	tu-ra-git-ka-naat-lek
inspire	บันดาลใจ	ban-daan-jai
record	บันทึกเทป	ban-túk-deep
estimate	ประเมินราคา	bpra-meen-raa-kaa
operator	ผู้ดำเนินการ	pûu-dam-noen-gaan
refugee	ผู้ลี้ภัย	pûu-lii-pai
researcher	ผู้วิจัย	pû-wi-jai
succeed	ประสบผลสำเร็จ	bpra-sòp-pǒn-sam-rèt
break discipline	ผิดวินัย	pìd-wi-nai
genetic engineering	พันธุวิศวกรรม	pan-tu-wit-sa-gam
coalition government parties	พรรคร่วมรัฐบาล	phak-ruam-rat-baan
danger	พิษภัย	píts-pai
member	ภาคี	paa-kii
associate	ภาคี	paa-kii
economic condition	ภาวะเศรษฐกิจ	paa-wa-sèd-ta-gìt
debtor	ลูกหนี้	lûug-nîi
cycle	วงจร	wong-jon
be critical	วิกฤติ	wít-krì-dtì
spray	สเปรย์	s-bpree
absolute monarchy	สมบูรณาญาสิทธิราชย์	som-buu-ra-naa-ya-sit-ti-raat
herb	สมุนไพร	so-mun-prai
relation	สายสัมพันธ์	sai-sam-pan
right	สิทธิ	sìt-tí
beyond one's capability	สุดฝีมือ	sùd-fii-muu
line	เส้น	sên
nerve	เส้น	sên
unit of length equal to 40 metres	เส้น	sên
numerative noun of road, long thing	เส้น	sên
credit	หน่วยกิต	nùay-git
memory	หน่วยความจำ	nùay-kwaam-jam
morpheme	หน่วยคำ	nùay-kam
building	อาคาร	aa-kaan
person	เอกชน	èk-chon
private	เอกชน	èk-chon
support	โอบอุ้ม	oo-bûm
Ouch!	โอ๊ย	ôoi
luxurious	โอ่อ่า	ôo-ìa
earner	ผู้มีรายได้	pûu-mii-raai-dai
biotechnology	เทคโนโลยีชีวภาพ	tek-noo-lo-yii-chii-wa-phaap
fetus	ทารกในครรภ์	taa-rok-nai-kap
occupational class	กลุ่มอาชีพ	glùm-aa-chii-p
age group	กลุ่มอายุ	glùm-aa-yu
rentier	ผู้มีรายได้ประจำ	pûu-mii-raai-dai-bpra-jam
rural area	เขตชนบท	kèt-chon-bot
petty case	คดีมโนสาเร่	kdii-mo-noo-saa-rèe
ideology	อุดมการณ์	ùt-dom-gaan
in negligence	โดยประมาท	doi-bpra-maat
in doing this	ในการนี้	nai-gaan-nii
psychological warfare	สงครามจิตวิทยา	song-kraam-jit-wit-ta-yaa
hypothesis	สมมุติฐาน	som-mú-dtǐan
create	เสก	sèk
school age child	เด็กวัยเรียน	dèk-wai-rian
national income	รายได้ประ ชาชาติ	raai-dai-bpra-chaa-chaat
call	โทร	too
freedom	ไทย	thai
Thailand	ไทย	tai
leaf	ใบ	bai
numerative noun for tree leaves, fruit, container, document, etc.	ใบ	bai
be in line with	เป็นไปตาม	bpen-bpai-dtaam
violate the rule	ผิดกติกา	pìd-ga-dtì-gaa
accomplice	ผู้สมคบ	pû-som-kop
cheer	เชียร์	chia
strand	เกลียว	glia̋w
twist	เกลียว	glia̍w
remember	จำใส่ใจ	jam-sai-jai
support	เชียร์	chîa
novice	เณร	neen
be promiscuous	มั่ว	mûa
incalculably	สุดคณนา	sùt-kun-naa
carry a weapon	พกอาวุธ	pók-aa-wut
right	สิทธิ์	sìt-tí
share	สู่	sùu
to	สู่	sùu
visit	สู่	sùu
recite an incantation over	เสก	sèk
sprinkle holy water on the bride and groom at a wedding	เสก	sèk
magical	เสก	sèk
possibility	สิทธิ์	sìt-tí
assemble	มั่ว	mûa
predict	มั่ว	mûa
incessantly	ไม่หยุดหย่อน	mai-yùt-yòn
in fact	ในความเป็นจริง	nai-kwaam-bpen-jing
by common consent	เป็นเอกฉันท์	bpen-èk-chun
commerce	พาณิชยกรรม	paa-ni-cha-gam
plug	อุด	ùt
carry	อุ้ม	ûm
absorb	อุ้ม	ûm
discretion	ดุลพินิจ	dul-pí-nìt
lay down measures	วางมาตรการ	waang-maa-dtra-gaan
make eye contact	สบตา	sòp-dtaa
reproductive age	วัยเจริญพันธุ์	wai-ja-rin-pan
ATM	เอทีเอ็ม	ee-dtii-em
sanitary district	เขตสุขาภิบาล	khèt-sù-kaa-pí-baan
be conscientious	มีมโนธรรม	mii-mo-not-tam
dissatisfied	ไม่สบอารมณ์	mai-sop-aa-rom
be dissatisfied	ไม่สบอารมณ์	mai-sòp-aa-rom
order of magnitude	ลำดับความสำคัญ	lam-dap-kwaam-sam-kan
war criminal	อาชญากรสงคราม	aa-cha-yaa-gon-song-kraam
maturity	วุฒิภาวะ	wút-ti-paa-wa
old age	วัยสูงอายุ	wai-suung-aa-yu
be in line for	อยู่ในเกณฑ์	yùu-nai-gèn
office hours	เวลาทำการ	wee-laa-tam-gaan
absolute monarchy	สมบูรณาญาสิทธิราชย์	som-buu-ra-naa-ya-sìt-ti-raat-jai
deduce	อนุมาน	a-nu-maan
objective	วัตถุวิสัย	wat-tu-wi-sai
go astray	หลงผิด	lǒng-pìt
chairman	ประธานที่ประชุม	bpra-taan-tîi-bpra-chum
party policy	นโยบายพรรค	n-yoo-bai-pak
International Police	ตำรวจสากล	dtam-ruat-saa-gon
serious	ซีเรียส	sii-rias
realize	ประจักษ์ชัด	bpra-jak-chat
personal interest	ประโยชน์ส่วนตัว	bpra-yòot-sùan-dtua
common interest	ประโยชน์ส่วนรวม	bpra-yòot-sùan-ruam
shut the door	ปิดประตู	bpìt-bpra-duu
sacred words	มนตร์	mon
total mass	มวลรวม	muan-ruan
tightly	มิด	mìt
imply	มีนัย	mii-nai
participate	มีส่วน	mii-sùan
pour	เท	thée
mosquito wire screen	มุ้งลวด	múng-luat
Modern age	ยุคใหม่	yúk-mai
subside	ยุบตัว	yúp-dua
feel annoyed	รำคาญใจ	ram-kaan-jai
roadside	ริมถนน	rim-tǒn
new model	รุ่นใหม่	rùn-mai
shade	ร่มเงา	rôm-ngao
accompany with	ร่วมกัน	rûam-gan
share the happiness	ร่วมสุข	rûam-sùk
taste	ลิ้มรส	lím-rót
scope	วงจำกัด	wong-jam-gat
art created language	วรรณศิลป์	wan-na-sìn
Shaving Day	วันโกน	wan-goon
seniority	วัยวุฒิ	wai-wut
sold	วางขาย	waang-khaai
visit	เยี่ยมเยียน	yîam-yian
graduate	เรียนจบ	rian-jop
arithmetic	เลขคณิต	lek-ka-nit
domestic	ในประเทศ	nai-bpra-deet
Hand-In-Hand Foundation	มูลนิธิร่วมด้วยช่วยกัน	muu-li-nit-ruam-duay-chuay-gan
to and fro	เทียวไปเทียวมา	thiiao-bpai-thiiao-maa
smooth	เนียน	nia
Miss Thailand	นางสาวไทย	naang-saao-thai
missionary	มิชชันนารี	mit-chun-naa-rii
senior	รุ่นพี่	rùn-pîi
jury	ลูกขุน	lúuk-kun
child	ลูกเต้า	lûuk-dtao
research report	รายงานการวิจัย	raai-ngaan-gaan-wi-jai
rubber tree	ยางพารา	yaang-paa-raa
rainbow	รุ้ง	rúng
pot-stewed duck	เป็ดพะโล้	bpèd-pa-loo
stove	เตาไฟ	dtao-fai
Buddhist nun	ภิกษุณี	pík-sù-nii
mountain	ภู	púu
recently	หมู่นี้	mùu-níi
suit	สูท	sùut
note	หมายเหตุ	măai-hèt-tu
head portion	ส่วนหัว	sùan-hǔa
sketch	สเก๊ตช์	s-gé-dtch
subcommittee	อนุกรรมการ	a-nu-gam-gaan
inorganic	อนินทรีย์	a-nin-trii
Alas	อนิจจา	a-ní-jaa
death	อนิจกรรม	a-ní-gam
countless	อนันต์	a-nan
grape	องุ่น	o-gun
pig	สุกร	sù-gon
hero	วีรชน	wii-ra-chon
ski	สกี	s-kii
stone	ศิลา	sǐ-laa
hero	วีรบุรุษ	wii-ra-bù-rut
major subject	วิชาเอก	wí-chaa-èek
moderation	สายกลาง	sai-glaang
ally	สัมพันธมิตร	sam-pan-dt-mìt
picture album	สมุดภาพ	som-ùt-phaap
metaphysics	อภิปรัชญา	a-pí-bprat-yaa
electronics	อิเล็กทรอนิกส์	i-lèk-tro-nik
for example	อาทิเช่น	aa-ti-chên
mumblingly	อุบอิบ	u-bìp
aluminium	อลูมิเนียม	a-luu-mi-niam
special instructor	อาจารย์พิเศษ	aa-jaan-pí-sèd
scream	หวีด	wǐid
exclaim	อุทาน	u-taan
flood	อุทกภัย	u-tok-pai
analogy	อุปมาอุปไมย	u-bpa-maa-u-bpa-mai
coexist	อยู่ร่วม	yùu-ruam
sacrifice	อุทิศ	u-dtìt
emigrate	อพยพ	óp-yóp
leader of the teenage group	ขาโจ๋	kaa-joo
whole set of	ครบชุด	krop-chùt
simultaneously	ควบคู่กันไป	kuap-kùu-gan-bpai
grand diamond	โคตรเพชร	koo-dt-pèt
narrowly	ฉิวเฉียด	chǐw-chìat
hit oneself with anger	ชกหัว	chok-hǔa
recruit	เณร	nen
endurably	ทนทายาด	ton-taa-yaat
be in time	ทันการณ์	tan-gaan
learn the other	ทันเกม	tan-gem
municipal official	เทศกิจ	têet-gìt
have a landslide victory	นอนมา	non-maa
distantly	นำลิ่ว	nam-líw
completely	มิดชิด	mit-chit
brag	ราคาคุย	raa-kaa-kui
lucky number	เลขเด็ด	lêk-dèt
face the problem	โดนดี	doon-dii
forensic laboratory	นิติเวช	ni-dtí-wèt
the assured	ผู้เอาประกัน	pûu-ao-bpra-gan
winning card	ไพ่ตาย	bai-dtaai
thoroughly	ยิบ	yìp
orderly	เรียงราย	ria-raai
ceaselessly	วาย	waai
jelly-like substance	วุ้น	wún
Alas!	โว้ย	wóai
aide-de-camp	เสนาธิการ	sè-naa-tí-gaan
with a groan	โหยหวน	hǒi-huan
smile knowingly	อมยิ้ม	o-myím
word used on front of a woman's name	อี	ii
adaptation	การปรับปรุง	gaan-bprap-bprung
proof	การพิสูจน์	gaan-pí-sùut
thieving	ขี้ขโมย	kîi-ka-mooey
boastful	ขี้คุย	kìi-kui
bragful	ขี้โม้	kîi-môo
pleasure-loving people	คนรักสนุก	kon-rak-sa-nuk
distinction	ความเด่น	kwaam-dèn
airless	จุดอับ	jùd-ùp
be dying for something	ใจจะขาด	jai-ja-khaad
virginal	ตกเขียว	dtòk-khǐao
deceive	ตกเขียว	dtòk-khǐao
in the middle of	ตรงกลาง	dtrong-glaang
short	เตี้ย	dîa
aim	ใฝ่	jai
frank	พูดตรงไปตรงมา	pûut-dtrong-bpai-dtrong-maa
numerously	เพียบ	pîab
peasant	ไพร่	prai
inside	ภายใน	paa-nai
have a  proprietary right	มีกรรมสิทธิ์	mii-gam-mit
ground	มูล	muun
seed	เม็ด	mèd
grain	เม็ด	mèd
straight	ยาวเหยียด	yaa-wia̍t
Damn!	ยี้	yî
go down	ยุบ	yúp
continuously	ร่วน	rùan
loosely	ร่วน	rûan
jointly own business	ร่วมทุน	rûam-tun
enter into partnership with	ร่วมหุ้น	ruam-hun
pass	พ้น	pón
carelessly	เผละ	phlè
green betel	พลูสด	pluu-sòd
prune	พรุน	prùn
lightly	พรำๆ	prom-rom
on time	เป็นเวลา	bpen-wee-laa
be nimble	เปรียว	bpriao
be avant-garde	เปรี้ยว	bprîao
sour	เปรี้ยว	bpríiao
be avant-garde	เปรี้ยวจี๊ด	bpriaw-jîit
avant-garde	เปรี้ยวจี๊ด	bprîiao-jîid
